date,isfull,minutes
2021-10-25,0,473.0
2021-10-25,1,436.0
2021-10-26,0,766.0
2021-10-26,1,118.0
2021-10-27,0,462.0
2021-10-27,1,302.0
2021-10-28,0,504.0
2021-10-28,1,181.0
2021-10-29,0,736.0
2021-10-29,1,311.0
2021-10-30,0,560.0
2021-10-30,1,374.0
2021-10-31,0,279.0
2021-10-31,1,632.0
2021-11-01,0,733.0
2021-11-01,1,388.0
2021-11-02,0,531.0
2021-11-02,1,189.0
2021-11-03,0,223.0
2021-11-03,1,614.0
2021-11-04,0,661.0
2021-11-04,1,166.0
2021-11-05,0,210.0
2021-11-05,1,550.0
2021-11-06,0,953.0000000000001
2021-11-06,1,97.0
2021-11-07,0,284.0
2021-11-07,1,612.0
2021-11-08,0,385.0
2021-11-08,1,527.0
2021-11-09,0,494.0
2021-11-09,1,368.0
2021-11-10,0,659.0
2021-11-10,1,413.0
2021-11-11,0,305.00000000000006
2021-11-11,1,712.0
2021-11-12,0,546.0
2021-11-12,1,382.0
2021-11-13,0,462.0
2021-11-13,1,484.0
2021-11-14,0,522.0
2021-11-14,1,485.0
2021-11-15,0,752.0
2021-11-15,1,161.0
2021-11-16,0,618.0
2021-11-16,1,163.0
2021-11-17,0,349.0
2021-11-17,1,461.00000000000006
2021-11-18,0,529.0
2021-11-18,1,512.0
2021-11-19,0,502.0
2021-11-19,1,267.0
2021-11-20,0,796.0
2021-11-20,1,98.00000000000001
2021-11-21,0,239.0
2021-11-21,1,678.0
2021-11-22,0,368.0
2021-11-22,1,255.0
2021-11-23,0,489.0
2021-11-23,1,468.0
2021-11-24,0,472.0
2021-11-24,1,522.0000000000001
2021-11-25,0,361.0
2021-11-25,1,463.0
2021-11-26,0,0.0
2021-11-26,1,88.0
2021-11-27,0,607.0
2021-11-27,1,264.0
2021-11-28,0,307.0
2021-11-28,1,368.0
2021-11-29,0,388.0
2021-11-29,1,593.0
2021-11-30,0,536.0
2021-11-30,1,280.0
2021-12-01,0,444.0
2021-12-01,1,463.0
2021-12-02,0,427.0
2021-12-02,1,539.0
2021-12-03,0,557.0
2021-12-03,1,271.0
2021-12-04,0,660.0
2021-12-04,1,110.0
2021-12-05,0,775.0
2021-12-05,1,158.0
2021-12-06,0,460.0
2021-12-06,1,384.0
2021-12-07,0,405.0
2021-12-07,1,473.0
2021-12-08,0,640.0
2021-12-08,1,272.0
2021-12-09,0,774.0
2021-12-09,1,81.0
2021-12-10,0,670.0
2021-12-10,1,451.0
2021-12-11,0,513.0
2021-12-11,1,380.0
2021-12-12,0,315.0
2021-12-12,1,497.0
2021-12-13,0,356.0
2021-12-13,1,550.0
2021-12-14,0,432.0
2021-12-14,1,435.0
2021-12-15,0,763.0
2021-12-15,1,240.0
2021-12-16,0,294.0
2021-12-16,1,696.0
2021-12-17,0,407.0
2021-12-17,1,635.0000000000001
2021-12-18,0,592.0
2021-12-18,1,397.0000000000001
2021-12-19,0,281.0
2021-12-19,1,515.0
2021-12-20,0,436.0
2021-12-20,1,610.0
2021-12-21,0,415.0
2021-12-21,1,632.0
2021-12-22,0,511.0
2021-12-22,1,419.0
2021-12-23,0,386.0
2021-12-23,1,649.0
2021-12-24,0,452.0
2021-12-24,1,443.0
2021-12-25,0,714.0
2021-12-25,1,119.00000000000001
2021-12-26,0,644.0
2021-12-26,1,294.0
2021-12-27,0,686.0
2021-12-27,1,458.0
2021-12-28,0,330.0
2021-12-28,1,542.0
2021-12-29,0,514.0
2021-12-29,1,408.0
2021-12-30,0,596.0
2021-12-30,1,97.0
2021-12-31,0,402.0
2021-12-31,1,308.0
2022-01-01,0,852.0
2022-01-01,1,152.0
2022-01-02,0,499.0
2022-01-02,1,242.0
2022-01-03,0,532.0
2022-01-03,1,212.00000000000003
2022-01-04,0,1027.0
2022-01-04,1,304.0
2022-01-07,0,388.0
2022-01-07,1,409.0
2022-01-08,0,495.0
2022-01-08,1,471.0
2022-01-09,0,765.0
2022-01-09,1,85.0
2022-01-10,0,689.0000000000001
2022-01-10,1,121.0
2022-01-11,0,198.0
2022-01-11,1,658.0
2022-01-12,0,396.0
2022-01-12,1,439.0
2022-01-13,0,282.0
2022-01-13,1,522.0
2022-01-14,0,490.0
2022-01-14,1,394.0
2022-01-15,0,347.0
2022-01-15,1,474.00000000000006
2022-01-16,0,459.0
2022-01-16,1,340.0
2022-01-17,0,352.0
2022-01-17,1,557.0
2022-01-18,0,726.0
2022-01-18,1,287.0
2022-01-19,0,385.0
2022-01-19,1,435.0
2022-01-20,0,1042.0
2022-01-20,1,13.000000000000002
2022-01-21,0,393.0
2022-01-21,1,276.0
2022-01-22,0,406.0
2022-01-22,1,461.0
2022-01-23,0,536.0
