date,begin,end,isprod
2022-05-20,2022-05-20 17:13:00,2022-05-20 17:31:00,0
2022-05-20,2022-05-20 16:32:00,2022-05-20 17:13:00,0
2022-05-20,2022-05-20 16:16:00,2022-05-20 16:32:00,0
2022-05-20,2022-05-20 15:35:00,2022-05-20 16:16:00,1
2022-05-20,2022-05-20 15:28:00,2022-05-20 15:35:00,0
2022-05-20,2022-05-20 15:27:00,2022-05-20 15:28:00,2
2022-05-20,2022-05-20 15:17:00,2022-05-20 15:24:00,2
2022-05-20,2022-05-20 15:08:00,2022-05-20 15:17:00,1
2022-05-20,2022-05-20 13:16:00,2022-05-20 15:08:00,1
2022-05-20,2022-05-20 12:55:00,2022-05-20 13:16:00,2
2022-05-20,2022-05-20 12:48:00,2022-05-20 12:55:00,2
2022-05-20,2022-05-20 12:39:00,2022-05-20 12:48:00,2
2022-05-20,2022-05-20 12:11:00,2022-05-20 12:39:00,1
2022-05-20,2022-05-20 11:57:00,2022-05-20 12:11:00,2
2022-05-20,2022-05-20 11:54:00,2022-05-20 11:57:00,1
2022-05-20,2022-05-20 11:35:00,2022-05-20 11:54:00,2
2022-05-20,2022-05-20 11:14:00,2022-05-20 11:35:00,1
2022-05-20,2022-05-20 10:57:00,2022-05-20 11:14:00,2
2022-05-20,2022-05-20 01:10:00,2022-05-20 01:21:00,2
2022-05-20,2022-05-20 00:47:00,2022-05-20 01:10:00,1
2022-05-20,2022-05-20 00:40:00,2022-05-20 00:47:00,1
2022-05-20,2022-05-20 00:10:00,2022-05-20 00:40:00,1
2022-05-19,2022-05-19 23:02:00,2022-05-20 00:09:00,0
2022-05-19,2022-05-19 22:41:00,2022-05-19 23:02:00,2
2022-05-19,2022-05-19 21:27:00,2022-05-19 22:41:00,0
2022-05-19,2022-05-19 21:01:00,2022-05-19 21:27:00,2
2022-05-19,2022-05-19 20:52:00,2022-05-19 21:01:00,2
2022-05-19,2022-05-19 20:18:00,2022-05-19 20:52:00,1
2022-05-19,2022-05-19 20:02:00,2022-05-19 20:18:00,0
2022-05-19,2022-05-19 19:48:00,2022-05-19 20:02:00,2
2022-05-19,2022-05-19 19:36:00,2022-05-19 19:48:00,1
2022-05-19,2022-05-19 19:09:00,2022-05-19 19:36:00,1
2022-05-19,2022-05-19 19:05:00,2022-05-19 19:09:00,2
2022-05-19,2022-05-19 18:36:00,2022-05-19 19:02:00,1
2022-05-19,2022-05-19 17:48:00,2022-05-19 18:36:00,1
2022-05-19,2022-05-19 17:44:00,2022-05-19 17:48:00,2
2022-05-19,2022-05-19 17:10:00,2022-05-19 17:44:00,1
2022-05-19,2022-05-19 16:39:00,2022-05-19 17:04:00,2
2022-05-19,2022-05-19 16:17:00,2022-05-19 16:39:00,2
2022-05-19,2022-05-19 15:37:00,2022-05-19 16:17:00,1
2022-05-19,2022-05-19 13:47:00,2022-05-19 15:37:00,0
2022-05-19,2022-05-19 13:28:00,2022-05-19 13:47:00,2
2022-05-19,2022-05-19 13:15:00,2022-05-19 13:28:00,2
2022-05-19,2022-05-19 12:59:00,2022-05-19 13:15:00,0
2022-05-19,2022-05-19 12:54:00,2022-05-19 12:59:00,2
2022-05-19,2022-05-19 11:40:00,2022-05-19 12:53:00,1
2022-05-19,2022-05-19 10:50:00,2022-05-19 11:40:00,2
2022-05-19,2022-05-19 02:29:00,2022-05-19 02:40:00,2
